Designator,Mid X,Mid Y,Rotation,Layer
BT1,73.494026,-85.34916,25.0,top
D1,78.44,-54.66,0.0,top
D2,89.705,-54.81,0.0,top
M1,57.69,-79.81,0.0,top
Q1,58.07,-70.375,180.0,top
R1,74.71,-64.92,90.0,top
R2,84.19,-62.08,0.0,top
R3,43.15096928483538,-95.85467404164953,215.0,top
R4,95.67,-77.47,270.0,bottom
R5,99.72,-77.47,270.0,bottom
R6,103.77,-77.47,270.0,bottom
R7,107.82,-77.47,270.0,bottom
R8,111.87,-77.47,270.0,bottom
RV1,51.4,-80.35,0.0,top
SW1,93.83644284148501,-91.03958256229943,300.0,top
SW2,64.45181790677654,-103.9237328100196,95.0,top
